núm_corre,año_ocu,mes_ocu,día_ocu,día_sem_ocu,hora_ocu,g_hora,g_hora_mañ.tar.noch,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_60ymás,g_edad_80ymás,edad_quinquenales,delito_com,g_delitos
6837,2020,1,23,4,15,3,2,22,2217,99,1,20,3,3,5,104,6
6838,2020,1,23,4,15,3,2,22,2201,99,1,999,12,16,18,104,6
6839,2020,1,24,5,8,2,1,22,2211,99,2,999,12,16,18,104,6
6840,2020,1,24,5,11,2,1,22,2201,99,1,40,7,7,9,104,6
6841,2020,1,27,1,17,3,2,22,2201,99,1,30,5,5,7,104,6
6842,2020,1,28,2,8,2,1,22,2217,99,1,999,12,16,18,104,6
6843,2020,1,28,2,12,3,2,22,2203,99,1,46,8,8,10,104,6
6844,2020,1,28,2,16,3,2,22,2214,99,1,22,3,3,5,104,6
6845,2020,1,28,2,19,4,3,22,2202,99,2,45,8,8,10,104,6
6846,2020,1,29,3,14,3,2,22,2201,99,2,22,3,3,5,104,6
6847,2020,1,29,3,16,3,2,22,2202,99,1,49,8,8,10,104,6
6848,2020,1,30,4,10,2,1,22,2212,99,1,62,11,11,13,104,6
6849,2020,1,31,5,10,2,1,22,2203,99,1,20,3,3,5,104,6
6850,2020,1,31,5,10,2,1,22,2201,99,1,43,7,7,9,104,6
6851,2020,1,2,4,11,2,1,5,506,99,1,26,4,4,6,104,6
6852,2020,1,2,4,12,3,2,5,502,99,1,42,7,7,9,104,6
6853,2020,1,2,4,17,3,2,5,501,99,2,27,4,4,6,104,6
6854,2020,1,3,5,13,3,2,5,501,99,2,46,8,8,10,104,6
6855,2020,1,3,5,15,3,2,5,505,99,2,29,4,4,6,104,6
6856,2020,1,3,5,18,4,3,5,502,99,1,21,3,3,5,97,6
6857,2020,1,3,5,18,4,3,5,507,99,1,35,6,6,8,104,6
6858,2020,1,3,5,15,3,2,5,505,99,1,32,5,5,7,104,6
6859,2020,1,4,6,10,2,1,5,511,99,2,44,7,7,9,104,6
6860,2020,1,4,6,13,3,2,5,513,99,1,40,7,7,9,97,6
6861,2020,1,4,6,16,3,2,5,501,99,1,50,9,9,11,104,6
6862,2020,1,4,6,17,3,2,5,502,99,2,19,2,2,4,104,6
6863,2020,1,4,6,17,3,2,5,509,99,2,40,7,7,9,104,6
6864,2020,1,5,7,11,2,1,5,507,99,1,38,6,6,8,97,6
6865,2020,1,5,7,13,3,2,5,509,99,1,58,10,10,12,104,6
6866,2020,1,5,7,16,3,2,5,509,99,1,36,6,6,8,104,6
6867,2020,1,6,1,14,3,2,5,509,99,1,57,10,10,12,104,6
6868,2020,1,6,1,13,3,2,5,508,99,1,36,6,6,8,104,6
6869,2020,1,6,1,15,3,2,5,510,99,1,42,7,7,9,104,6
6870,2020,1,6,1,15,3,2,5,513,99,1,28,4,4,6,104,6
6871,2020,1,6,1,16,3,2,5,506,99,1,38,6,6,8,104,6
6872,2020,1,6,1,16,3,2,5,506,99,2,66,11,12,14,104,6
6873,2020,1,6,1,15,3,2,5,503,99,2,46,8,8,10,97,6
6874,2020,1,7,2,12,3,2,5,502,99,1,30,5,5,7,104,6
6875,2020,1,7,2,13,3,2,5,503,99,1,37,6,6,8,104,6
6876,2020,1,7,2,14,3,2,5,505,99,1,59,10,10,12,104,6
6877,2020,1,7,2,16,3,2,5,502,99,1,63,11,11,13,97,6
6878,2020,1,7,2,14,3,2,5,502,99,2,70,11,13,15,104,6
6879,2020,1,7,2,16,3,2,5,511,99,2,28,4,4,6,104,6
6880,2020,1,7,2,15,3,2,5,501,99,2,32,5,5,7,104,6
6881,2020,1,9,4,10,2,1,5,511,99,2,47,8,8,10,97,6
6882,2020,1,10,5,8,2,1,5,511,99,1,21,3,3,5,104,6
6883,2020,1,10,5,13,3,2,5,511,99,1,40,7,7,9,104,6
6884,2020,1,10,5,15,3,2,5,506,99,1,26,4,4,6,104,6
6885,2020,1,10,5,15,3,2,5,503,99,1,29,4,4,6,104,6
6886,2020,1,10,5,16,3,2,5,502,99,1,36,6,6,8,94,6
6887,2020,1,10,5,17,3,2,5,505,99,1,27,4,4,6,104,6
6888,2020,1,10,5,19,4,3,5,511,99,1,20,3,3,5,104,6
6889,2020,1,11,6,9,2,1,5,509,99,1,49,8,8,10,104,6
6890,2020,1,11,6,16,3,2,5,513,99,1,22,3,3,5,104,6
6891,2020,1,11,6,17,3,2,5,509,99,1,48,8,8,10,104,6
6892,2020,1,11,6,17,3,2,5,502,99,1,41,7,7,9,104,6
6893,2020,1,12,7,16,3,2,5,505,99,1,39,6,6,8,104,6
6894,2020,1,12,7,17,3,2,5,509,99,2,28,4,4,6,104,6
6895,2020,1,13,1,16,3,2,5,501,99,1,37,6,6,8,104,6
6896,2020,1,13,1,19,4,3,5,504,99,1,27,4,4,6,104,6
6897,2020,1,14,2,10,2,1,5,508,99,1,37,6,6,8,104,6
6898,2020,1,14,2,11,2,1,5,502,99,1,41,7,7,9,104,6
6899,2020,1,14,2,12,3,2,5,509,99,1,999,12,16,18,104,6
6900,2020,1,15,3,6,2,1,5,505,99,2,28,4,4,6,104,6
6901,2020,1,15,3,11,2,1,5,505,99,2,48,8,8,10,104,6
6902,2020,1,15,3,11,2,1,5,511,99,1,34,5,5,7,97,6
6903,2020,1,15,3,12,3,2,5,511,99,2,999,12,16,18,104,6
6904,2020,1,16,4,10,2,1,5,501,99,2,42,7,7,9,104,6
6905,2020,1,16,4,11,2,1,5,501,99,1,18,2,2,4,104,6
6906,2020,1,16,4,12,3,2,5,502,99,1,27,4,4,6,97,6
6907,2020,1,16,4,18,4,3,5,513,99,1,31,5,5,7,104,6
